"fakecode";"fakelat";"fakelong"
"G66 2LY";"55.943111702127695";"-4.134382978723402"
"SR4 8PL";"54.8963264248704";"-1.4298290155440414"
"DL16 7AA";"54.6933068181818";"-1.6157840909090913"
"NE9 6TU";"54.931969594594555";"-1.5925675675675681"
"NE17 7EP";"54.91385365853659";"-1.816286585365853"
"NE1 6ES";"54.97123076923078";"-1.6116923076923075"
"NE9 5UN";"54.942191056910545";"-1.5926666666666685"
"NE3 2DW";"55.02254644808743";"-1.6195573770491805"
"TS26 0XA";"54.69424738675959";"-1.2412822299651585"
"NE39 1JY";"54.92160624999999";"-1.7494625000000013"
"SR6 7UY";"54.953664031620576";"-1.384806324110673"
