"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)";"TotalPaymentValue"
"M";"BD20 9HJ";"53.9229945";"-1.9648516";"Student";"105918";"Y";"Y";"Y";"Y";"N";"N";"Y";"Y";"Y";"Y";"50.00"
;"LA6 1JG";"54.1631271";"-2.7247161";"Active Booker";"764";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"50.00"
"F";"LA12 7PU";"54.2065";"-3.0903819";"Lapsed Booker";"100436";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"50.00"
"M";;;;"Lapsed Booker";"102128";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"50.00"
"M";"LA5 0SN";"54.1867024";"-2.8271845";"Lapsed Booker";"3150";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"50.00"
"F";"LA2 6BQ";"54.0839557";"-2.7861084";"Lapsed Booker";"3704";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"50.00"
"M";"PR3 1HZ";"53.9068429";"-2.7624231";"Active Booker";"103092";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N";"50.00"
;;;;"Lapsed Booker";"101910";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"49.00"
"F";"L39 4TT";"53.5628475";"-2.8867034";"Lapsed Booker";"102882";"Y";"N";"Y";"N";"N";"N";"N";"N";"N";"N";"49.00"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102321";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"49.00"
"F";"M45 7WZ";"53.5472349";"-2.2997189";"Lapsed Booker";"102639";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"49.00"
"F";"OL12 6JL";"53.627313";"-2.1669106";"Lapsed Booker";"102631";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"49.00"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"5468";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"49.00"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102044";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"48.02"
