"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)"
NULL;"FY6 0EE";"53.9196633";"-2.9697789";"Student";"104315";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"PR3 2WD";"53.8518333";"-2.6171869";"Active Booker";"104462";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"CH64 0UJ";"53.2802727";"-3.0612121";"Lapsed Booker";"103115";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"CH64 0UJ";"53.2802727";"-3.0612121";"Student";"100948";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"L36 3YE";"53.4243034";"-2.851";"Lapsed Booker";"102949";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105183";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"PR3 2YG";"53.8285086";"-2.591444";"Active Booker";"104884";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"101694";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"101116";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"104851";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"BB18 5AF";"53.9155513";"-2.1869049";"Student";"101903";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"PR3 0TB";"53.882743";"-2.7994458";"Lapsed Booker";"238";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA3 3ES";"54.0474118";"-2.8564615";"Lapsed Booker";"102854";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"LA2 9ES";"54.0461848";"-2.7098815";"Active Booker";"105033";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"BA12 9HS";"51.2019133";"-2.1726071";"Active Booker";"100542";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
