"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Regular Booker";"103642";"N";"N";"N";"N";"N";"N";"Y";"N";"N";"N"
NULL;"LA2 9ES";"54.0461848";"-2.7098815";"Active Booker";"104916";"Y";"Y";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105132";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"105023";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"PR3 2YG";"53.8285086";"-2.591444";"Student";"104927";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"FK7 9HA";"56.1031547";"-3.9540552";"Active Booker";"105268";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Lapsed Booker";"1235";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"LA2 9ES";"54.0461848";"-2.7098815";"Active Booker";"101188";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"102666";"N";"N";"N";"N";"N";"N";"N";"N";"Y";"Y"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102510";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"PR2 8EZ";"53.7821337";"-2.6966512";"Lapsed Booker";"102991";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"101780";"Y";"N";"N";"N";"N";"N";"Y";"N";"N";"N"
"M";NULL;NULL;NULL;"Student";"105261";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Student";"105285";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Student";"105449";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"BB9 5DB";"53.8248365";"-2.2313221";"Regular Booker";"103800";"Y";"N";"N";"N";"N";"N";"Y";"N";"N";"N"
"F";"BD20 5EN";"53.8779252";"-1.8718661";"Active Booker";"102693";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"101998";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"OX10 6DZ";"51.6080588";"-1.0889548";"Student";"105370";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"101999";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA6 2BB";"54.205825";"-2.5969083";"Lapsed Booker";"102657";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Student";"5598";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102573";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"102000";"Y";"Y";"N";"N";"N";"N";"N";"N";"Y";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Student";"104849";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"WA11 9RW";"53.469";"-2.7037883";"Student";"105027";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105398";"Y";"N";"Y";"N";"Y";"N";"Y";"Y";"Y";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102539";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"LA5 9HG";"54.1378168";"-2.7678132";"Active Booker";"1295";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102875";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"M15 6EP";"53.4669512";"-2.2403902";"Active Booker";"1296";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102511";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Lapsed Booker";"103087";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Student";"105362";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104828";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA2 7HX";"54.1170974";"-2.5192143";"Active Booker";"1323";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"1338";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";NULL;NULL;NULL;"Student";"102183";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"FY8 1YB";"53.7484208";"-3.0173861";"Lapsed Booker";"102787";"Y";"Y";"N";"N";"Y";"N";"N";"N";"Y";"N"
"F";"LA2 7LT";"54.1065596";"-2.5083731";"Lapsed Booker";"102715";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"PR2 8EZ";"53.7821337";"-2.6966512";"Active Booker";"105037";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Student";"102010";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"PR26 9HZ";"53.6686747";"-2.7776386";"Student";"100554";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA2 7LT";"54.1065596";"-2.5083731";"Active Booker";"1387";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102814";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102872";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"FY4 2HH";"53.7873604";"-3.0399848";"Student";"104989";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105296";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102832";"Y";"Y";"N";"N";"N";"N";"N";"N";"Y";"N"
NULL;"LA7 7TZ";"54.2266742";"-2.7724253";"Active Booker";"102315";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";NULL;NULL;NULL;"Lapsed Booker";"102885";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"FY5 5AG";"53.8699588";"-2.9978059";"Regular Booker";"1405";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Student";"105297";"Y";"N";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"PR2 7AR";"53.7871471";"-2.7381912";"Active Booker";"105457";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Regular Booker";"1417";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA6 1JG";"54.1631271";"-2.7247161";"Lapsed Booker";"1427";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"105032";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102585";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Regular Booker";"103796";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA6 1JG";"54.1631271";"-2.7247161";"Regular Booker";"1430";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104922";"N";"N";"N";"N";"N";"N";"Y";"N";"N";"N"
NULL;"BB11 2HN";"53.7839618";"-2.2437834";"Active Booker";"105142";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104767";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102761";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA2 6BQ";"54.0839557";"-2.7861084";"Active Booker";"1457";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"103711";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"PR1 3LS";"53.757218";"-2.6971203";"Active Booker";"105317";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Student";"101483";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"LA2 7HX";"54.1170974";"-2.5192143";"Lapsed Booker";"102491";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Student";"105229";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Active Booker";"102014";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA6 2BB";"54.205825";"-2.5969083";"Student";"1493";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104292";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"PR2 9WH";"53.7908375";"-2.6979167";"Regular Booker";"1497";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102906";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Student";"100217";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"PR1 0RD";"53.7473886";"-2.7338057";"Active Booker";"105369";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"PR2 6BH";"53.7781575";"-2.6613736";"Student";"104305";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA6 2BB";"54.205825";"-2.5969083";"Regular Booker";"103635";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"PR1 7UG";"53.7701286";"-2.7101214";"Student";"104277";"Y";"Y";"N";"N";"Y";"Y";"Y";"Y";"Y";"Y"
"F";"CW2 8PT";"53.0897481";"-2.4691296";"Regular Booker";"101736";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"FY6 0EE";"53.9196633";"-2.9697789";"Active Booker";"105389";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"105221";"Y";"N";"N";"N";"Y";"N";"Y";"N";"N";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"105127";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"W5  4LA";"51.5005405";"-0.3040315";"Student";"105442";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA12 0SQ";"54.1710996";"-3.1208774";"Lapsed Booker";"1538";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"WA13 9QE";"53.388743";"-2.4647269";"Active Booker";"104272";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA12 8JL";"54.2719639";"-3.0164124";"Lapsed Booker";"1539";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA12 9HX";"54.1822026";"-3.0863833";"Active Booker";"102990";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA2 0NU";"53.9922216";"-2.7988144";"Active Booker";"1540";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"M33 6NZ";"53.4281856";"-2.3288196";"Student";"105446";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"102697";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";NULL;NULL;NULL;"Active Booker";"100199";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA5 0SN";"54.1867024";"-2.8271845";"Student";"102319";"N";"?";"N";"?";"N";"?";"?";"?";"?";"?"
NULL;NULL;NULL;NULL;"Active Booker";"105192";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"BL5 2PQ";"53.5429841";"-2.5259004";"Student";"104978";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"HP2 4DE";"51.7536794";"-0.4471908";"Student";"105274";"Y";"N";"N";"N";"Y";"N";"Y";"N";"Y";"N"
"M";NULL;NULL;NULL;"Lapsed Booker";"1557";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA5 0SN";"54.1867024";"-2.8271845";"Lapsed Booker";"1564";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Lapsed Booker";"102484";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"L25 5NZ";"53.37967";"-2.85971";"Student";"1567";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"101777";"Y";"N";"N";"N";"Y";"N";"Y";"N";"N";"N"
"F";"N7  8NS";"51.5490433";"-0.1117056";"Lapsed Booker";"103023";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA2 0NU";"53.9922216";"-2.7988144";"Lapsed Booker";"102648";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA6 2BB";"54.205825";"-2.5969083";"Regular Booker";"103785";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"PR2 5BJ";"53.7966122";"-2.6392755";"Student";"104291";"Y";"Y";"N";"N";"N";"N";"Y";"N";"Y";"N"
"F";"FY3 7NP";"53.8322567";"-3.0198582";"Active Booker";"105388";"Y";"Y";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105223";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"SK9 5BT";"53.3283816";"-2.2422171";"Regular Booker";"1604";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102945";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102901";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"103637";"Y";"N";"Y";"N";"Y";"N";"N";"N";"Y";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"102030";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";NULL;NULL;NULL;"Lapsed Booker";"102997";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104870";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA5 9HG";"54.1378168";"-2.7678132";"Lapsed Booker";"103051";"Y";"N";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104899";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Student";"102553";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"L37 4AJ";"53.5545579";"-3.0578211";"Regular Booker";"103771";"Y";"N";"N";"N";"N";"N";"N";"N";"Y";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"104936";"Y";"N";"N";"N";"N";"N";"Y";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"102965";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Lapsed Booker";"1649";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Student";"102038";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"WN4 8TP";"53.4957967";"-2.6283297";"Lapsed Booker";"103117";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA2 6BQ";"54.0839557";"-2.7861084";"Lapsed Booker";"101793";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"PR1 2HD";"53.7609091";"-2.7027934";"Student";"1658";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"FY5 2JR";"53.8834608";"-3.0251536";"Student";"104998";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105287";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104363";"Y";"N";"N";"N";"N";"N";"N";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105113";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102779";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA3 3ES";"54.0474118";"-2.8564615";"Lapsed Booker";"102938";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"PR2 8EZ";"53.7821337";"-2.6966512";"Active Booker";"105714";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";NULL;NULL;NULL;"Lapsed Booker";"101247";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"105394";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"OL14 8DG";"53.7284171";"-2.1116884";"Lapsed Booker";"102331";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA2 6BQ";"54.0839557";"-2.7861084";"Regular Booker";"102992";"Y";"N";"N";"N";"Y";"N";"N";"N";"Y";"N"
NULL;"LA7 7TZ";"54.2266742";"-2.7724253";"Regular Booker";"1685";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA3 2JJ";"54.0446703";"-2.8922308";"Active Booker";"1699";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"1701";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"104458";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"FY8 4JZ";"53.7396908";"-2.9609517";"Student";"102561";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"PR3 0TB";"53.882743";"-2.7994458";"Student";"105106";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"FY8 2HE";"53.7604711";"-3.0334622";"Active Booker";"105431";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104839";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"PR3 6SR";"53.9082651";"-2.9008916";"Lapsed Booker";"102569";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105326";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102545";"N";"N";"Y";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Student";"104941";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102562";"N";"N";"N";"N";"N";"N";"N";"N";"Y";"Y"
NULL;"LS28 6NL";"53.8075287";"-1.6631146";"Student";"104453";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"105087";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"GL50 4RN";"51.9107477";"-2.0773303";"Student";"104970";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Lapsed Booker";"102954";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"1739";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";NULL;NULL;NULL;"Active Booker";"100147";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102789";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Student";"104917";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102842";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA2 6BQ";"54.0839557";"-2.7861084";"Active Booker";"1757";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Student";"105157";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA4 6RN";"54.0741967";"-2.8349795";"Regular Booker";"1758";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"BB5 5WW";"53.7751759";"-2.3765034";"Regular Booker";"103767";"Y";"Y";"N";"N";"Y";"N";"Y";"Y";"Y";"Y"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Regular Booker";"103751";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105312";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"1772";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA3 3ES";"54.0474118";"-2.8564615";"Active Booker";"1775";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Regular Booker";"103728";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"1780";"N";"?";"N";"?";"N";"?";"?";"?";"?";"?"
NULL;"BL6 4AB";"53.5776912";"-2.5062843";"Student";"105126";"Y";"N";"N";"N";"N";"N";"Y";"N";"Y";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"102926";"Y";"N";"N";"N";"Y";"N";"N";"N";"Y";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"105237";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA6 1JG";"54.1631271";"-2.7247161";"Lapsed Booker";"102669";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"M";"BB1 9QA";"53.7805183";"-2.4781257";"Active Booker";"1805";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"104451";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Regular Booker";"1808";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"105368";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"BR2 9JF";"51.395692";"0.02621519";"Student";"103041";"Y";"N";"N";"N";"Y";"N";"N";"N";"Y";"N"
"F";NULL;NULL;NULL;"Lapsed Booker";"103042";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102799";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"105101";"Y";"Y";"N";"N";"N";"N";"Y";"N";"Y";"Y"
NULL;"LA7 7TZ";"54.2266742";"-2.7724253";"Active Booker";"105061";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"102754";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"WN6 8LY";"53.5681429";"-2.6748524";"Active Booker";"104879";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";NULL;NULL;NULL;"Lapsed Booker";"101776";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"M";"LA2 0NU";"53.9922216";"-2.7988144";"Active Booker";"101165";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"104874";"Y";"Y";"Y";"N";"Y";"Y";"Y";"N";"Y";"N"
NULL;"LA12 7PU";"54.2065";"-3.0903819";"Active Booker";"105021";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
"M";NULL;NULL;NULL;"Active Booker";"1843";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105160";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"PR1 1YN";"53.7644113";"-2.6986667";"Active Booker";"104232";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA6 1JG";"54.1631271";"-2.7247161";"Active Booker";"1855";"N";"?";"N";"?";"N";"?";"?";"?";"?";"?"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102778";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"104994";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";NULL;NULL;NULL;"Lapsed Booker";"103004";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"103010";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102943";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102238";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"M";"LE2 4NW";"52.5986261";"-1.0664099";"Lapsed Booker";"103731";"Y";"N";"N";"N";"Y";"N";"N";"N";"Y";"N"
