"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry";"PHON/Venue";"PHON/Third Patry";"POST/Venue";"POST/Third Patry";"SMS/Venue";"SMS/Third Patry";"SOCI/Venue";"SOCI/Third Patry"
NULL;"LA4 6RN";"54.0741967";"-2.8349795";"Adult";"905";"Y";"?";"Y";"?";"Y";"?";"Y";"?";"Y";"?"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"100154";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"100085";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA4 6RN";"54.0741967";"-2.8349795";"Adult";"102307";"Y";"Y";"Y";"N";"Y";"Y";"N";"N";"N";"N"
"C";NULL;NULL;NULL;"Adult";"101252";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"HU17 8RG";"53.8349252";"-0.4470646";"Adult";"100569";"Y";"Y";"N";"N";"N";"N";"Y";"N";"N";"N"
"M";"HU17 8RG";"53.8349252";"-0.4470646";"Adult";"102916";"Y";"Y";"N";"N";"N";"N";"Y";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"102998";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"LA2 7LT";"54.1065596";"-2.5083731";"Adult";"965";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA5 8JA";"54.1054419";"-2.7918837";"Adult";"969";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"102556";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA2 7HX";"54.1170974";"-2.5192143";"Adult";"993";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"PR3 0TB";"53.882743";"-2.7994458";"Adult";"1002";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"102973";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"FY3 8JT";"53.8240404";"-3.0251566";"Adult";"1044";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"F";"LA5 0SN";"54.1867024";"-2.8271845";"Adult";"102964";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA9 4AD";"54.3296359";"-2.7476893";"Adult";"102918";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"102641";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Adult";"1080";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"105396";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA10 5JR";"54.3151607";"-2.4935491";"Adult";"102880";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Adult";"1111";"Y";"?";"Y";"?";"Y";"?";"Y";"?";"Y";"?"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Adult";"105190";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA4 6RN";"54.0741967";"-2.8349795";"Adult";"1130";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"102504";"Y";"Y";"Y";"Y";"Y";"Y";"N";"Y";"N";"Y"
NULL;NULL;NULL;NULL;"Adult";"102782";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"102727";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA9 4JU";"54.3252657";"-2.7521208";"Adult";"102550";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"101317";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Adult";"1149";"Y";"N";"Y";"N";"N";"N";"N";"N";"N";"N"
NULL;"CA16 6US";"54.575236";"-2.482888";"Adult";"102514";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Adult";"102923";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA2 9ES";"54.0461848";"-2.7098815";"Adult";"102479";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA4 6RN";"54.0741967";"-2.8349795";"Adult";"101148";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"1235";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"LA2 9ES";"54.0461848";"-2.7098815";"Adult";"101188";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"102510";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"PR2 8EZ";"53.7821337";"-2.6966512";"Adult";"102991";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"101780";"Y";"N";"N";"N";"N";"N";"Y";"N";"N";"N"
NULL;"BB9 5DB";"53.8248365";"-2.2313221";"Adult";"103800";"Y";"N";"N";"N";"N";"N";"Y";"N";"N";"N"
"F";"BD20 5EN";"53.8779252";"-1.8718661";"Adult";"102693";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"101999";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA6 2BB";"54.205825";"-2.5969083";"Adult";"102657";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"102573";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"102539";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"LA5 9HG";"54.1378168";"-2.7678132";"Adult";"1295";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"102511";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Adult";"103087";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA2 7HX";"54.1170974";"-2.5192143";"Adult";"1323";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Adult";"1338";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"FY8 1YB";"53.7484208";"-3.0173861";"Adult";"102787";"Y";"Y";"N";"N";"Y";"N";"N";"N";"Y";"N"
"F";"LA2 7LT";"54.1065596";"-2.5083731";"Adult";"102715";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA2 7LT";"54.1065596";"-2.5083731";"Adult";"1387";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"102832";"Y";"Y";"N";"N";"N";"N";"N";"N";"Y";"N"
NULL;"LA7 7TZ";"54.2266742";"-2.7724253";"Adult";"102315";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"FY5 5AG";"53.8699588";"-2.9978059";"Adult";"1405";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"1417";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA6 1JG";"54.1631271";"-2.7247161";"Adult";"1427";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA6 1JG";"54.1631271";"-2.7247161";"Adult";"1430";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Adult";"104767";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA2 6BQ";"54.0839557";"-2.7861084";"Adult";"1457";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Adult";"103711";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA2 7HX";"54.1170974";"-2.5192143";"Adult";"102491";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"102014";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"M";"PR2 9WH";"53.7908375";"-2.6979167";"Adult";"1497";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"M";"FY6 0EE";"53.9196633";"-2.9697789";"Adult";"105389";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA12 0SQ";"54.1710996";"-3.1208774";"Adult";"1538";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA2 0NU";"53.9922216";"-2.7988144";"Adult";"1540";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Adult";"102697";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA5 0SN";"54.1867024";"-2.8271845";"Adult";"1564";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Adult";"102484";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"L25 5NZ";"53.37967";"-2.85971";"Adult";"1567";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"FY3 7NP";"53.8322567";"-3.0198582";"Adult";"105388";"Y";"Y";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"SK9 5BT";"53.3283816";"-2.2422171";"Adult";"1604";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"102945";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA5 9HG";"54.1378168";"-2.7678132";"Adult";"103051";"Y";"N";"N";"N";"Y";"Y";"N";"N";"N";"N"
"M";"LA1 1PS";"54.049537";"-2.7996342";"Adult";"1649";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"WN4 8TP";"53.4957967";"-2.6283297";"Adult";"103117";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA2 6BQ";"54.0839557";"-2.7861084";"Adult";"101793";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"PR2 8EZ";"53.7821337";"-2.6966512";"Adult";"102515";"Y";"Y";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA2 6BQ";"54.0839557";"-2.7861084";"Adult";"102992";"Y";"N";"N";"N";"Y";"N";"N";"N";"Y";"N"
NULL;"LA7 7TZ";"54.2266742";"-2.7724253";"Adult";"1685";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA3 2JJ";"54.0446703";"-2.8922308";"Adult";"1699";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Adult";"1701";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"FY8 4JZ";"53.7396908";"-2.9609517";"Adult";"102561";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"102545";"N";"N";"Y";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Adult";"102789";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
