"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)";"TotalPaymentValue"
"F";"L37 4AJ";"53.5545579";"-3.0578211";"Regular Booker";"103771";"Y";"N";"N";"N";"N";"N";"N";"N";"Y";"N";"119.00"
;"BA12 9HS";"51.2019133";"-2.1726071";"Active Booker";"100542";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"118.00"
"M";"BB7 2DU";"53.8736387";"-2.3959476";"Student";"3117";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"117.00"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"1772";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"116.80"
;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"100393";"Y";"N";"N";"N";"N";"N";"Y";"N";"N";"N";"116.00"
;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"697";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"114.00"
;"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"5095";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"114.00"
"F";"LA6 2BB";"54.205825";"-2.5969083";"Active Booker";"629";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"112.20"
"F";"LA2 7LT";"54.1065596";"-2.5083731";"Regular Booker";"100444";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"111.60"
"F";"LA2 7LT";"54.1065596";"-2.5083731";"Student";"965";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"111.00"
