"branch";"author";"title";"class";"fakecode";"fakelat";"fakelong"
"35";"Holzner, Steven";"Google Docs 4 everyone";"5.5000";"NE64 6PR";"55.1854754";"-1.5148525"
"2";"Buckley, Peter";"Rough guide to the Internet";"4.6780";"NE4 8AH";"54.9718675";"-1.6538079"
"36";"Toot, Michael";"Master visually Microsoft Office 2003";"5.3600";"NE9 7XG";"54.9234453";"-1.5678905"
"36";"McFedries, Paul";"Switching to a Mac";"4.1650";"NE5 3EB";"54.9959224";"-1.664498"
"3";NULL;"Laptops and mobile devices made easy";"4.1600";"NE4 9EP";"54.9821682";"-1.6541318"
"3";"Levine, John R.";"Internet for dummies";"4.6780";"NE21 5AZ";"54.9596541";"-1.7094973"
"36";"Bride, Mac";"Get started in Windows 7";"5.4460";"NE1 6PY";"54.9742805";"-1.5994268"
"36";"Simmons, Curt";"CNET do-it-yourself Windows Vista projects : 24";"5.4460";"NE6 5LJ";"54.986578";"-1.5775826"
"3";"McCandless, David";"Downloading";"4.6780";"NE5 2SY";"54.9899786";"-1.6833345"
"3";"Bride, Mac";"Windows Vista";"5.4460";"NE5 2SY";"54.9899786";"-1.6833345"
"3";"Bessant, Angela";"Learning to use your computer";"4.1600";"NE5 2SY";"54.9899786";"-1.6833345"
"2";NULL;"Reader's Digest beginner's guide to home computi";"5.4460";"NE28 7JG";"54.9985663";"-1.5171122"
"36";NULL;"Computing made easy for the overs 50s : Windows";"4.0840";"NE4 9EP";"54.9821682";"-1.6541318"
"2";"Bessant, Angela";"Learning to use Office XP for New CLAIT and CLAI";"5.3690";"NE3 2DW";"55.0225464";"-1.6195574"
"1";"Price, Sue";"New CLAIT in easy steps";"4.0000";"NE5 2SY";"54.9899786";"-1.6833345"
"1";"Ballew, Joli";"Microsoft Windows 7 for the over 50s : in simple";"5.4460";"NE5 2SY";"54.9899786";"-1.6833345"
"1";"Noelle, Robin";"Microsoft Word 2010";"5.5200";"NE5 2SY";"54.9899786";"-1.6833345"
"1";"Buckley, Peter";"Rough guide to the Internet";"4.6780";"NE5 3EB";"54.9959224";"-1.664498"
"6";"Cronan, John";"Microsoft Office Excel 2007";"5.3600";"NE6 4XY";"54.9836239";"-1.5508982"
"6";"Kotecha, Harshad";"Windows 7 in easy steps";"5.4460";"NE6 4XY";"54.9836239";"-1.5508982"
