"branch";"author";"title";"fakecode";"fakelat";"fakelong"
"1";"Patterson, James";"Quickie";"NE5 1TU";"55.0008475";"-1.7148744"
"1";"Patterson, James";"10th anniversary";"NE5 1TU";"55.0008475";"-1.7148744"
"1";"Patterson, James";"6th target";"NE5 2SY";"54.9899786";"-1.6833345"
"1";"Patterson, James";"Sundays at Tiffany's";"NE5 4DW";"55.0059111";"-1.6856611"
"1";"Patterson, James";"You've been warned";"NE5 4DW";"55.0059111";"-1.6856611"
"1";"Patterson, James";"Private London";"NE5 5QJ";"54.9965379";"-1.6989545"
"1";"Patterson, James";"9th Judgement";"NE5 5QJ";"54.9965379";"-1.6989545"
"20";"Patterson, James";"Private London";"NE5 1TU";"55.0008475";"-1.7148744"
"3";"Patterson, James";"Private";"NE5 5QJ";"54.9965379";"-1.6989545"
"1";"Patterson, James";"9th judgement";"NE5 1TU";"55.0008475";"-1.7148744"
"1";"Patterson, James";"8th confession";"NE5 1TU";"55.0008475";"-1.7148744"
"12";"Patterson, James";"10th anniversary";"NE15 8UQ";"54.9833921";"-1.7225947"
"12";"Patterson, James";"Run for your life";"NE15 8UQ";"54.9833921";"-1.7225947"
"12";"Patterson, James";"Cross fire";"NE15 9ED";"54.9955085";"-1.7503107"
"12";"Patterson, James";"Quickie";"NE15 9ED";"54.9955085";"-1.7503107"
"12";"Patterson, James";"Christmas wedding";"NE5 2SY";"54.9899786";"-1.6833345"
"1";"Patterson, James";"Kill me if you can";"NE5 2SY";"54.9899786";"-1.6833345"
"1";"Patterson, James";"Don't Blink";"NE5 1TU";"55.0008475";"-1.7148744"
"12";"Patterson, James";"Tick tock";"NE15 9ED";"54.9955085";"-1.7503107"
"12";"Patterson, James";"Don't blink";"NE15 8UQ";"54.9833921";"-1.7225947"
"12";"Patterson, James";"Judge and jury";"NE15 8UQ";"54.9833921";"-1.7225947"
"12";"Patterson, James";"8th confession";"NE15 8UQ";"54.9833921";"-1.7225947"
"12";"Patterson, James";"I, Alex Cross";"NE15 8UQ";"54.9833921";"-1.7225947"
"36";"Patterson, James";"Kill me if you can";"NE28 9BN";"55.0098636";"-1.5216174"
"2";"Patterson, James";"Bloody Valentine";"NE3 4XN";"55.0029962";"-1.6345623"
"1";"Patterson, James";"Fang";"NE5 2SY";"54.9899786";"-1.6833345"
"20";"Patterson, James";"Don't Blink";"NE5 2SY";"54.9899786";"-1.6833345"
"36";"Patterson, James";"Sundays at Tiffany's";"NE12 9RN";"55.0219778";"-1.5547833"
"36";"Patterson, James";"Kill Alex Cross";"NE9 6TU";"54.9319696";"-1.5925676"
"36";"Patterson, James";"8th confession";"NE12 9RN";"55.0219778";"-1.5547833"
"1";"Patterson, James";"5th horseman";"NE5 1TU";"55.0008475";"-1.7148744"
"1";"Patterson, James";"6th target";"NE5 1TU";"55.0008475";"-1.7148744"
"4";"Patterson, James";"London bridges";"NE3 2DW";"55.0225464";"-1.6195574"
"4";"Patterson, James";"4th of July";"NE3 2DW";"55.0225464";"-1.6195574"
"4";"Patterson, James";"5th horseman";"NE3 2DW";"55.0225464";"-1.6195574"
"9";"Patterson, James";"Final warning";"NE4 8AH";"54.9718675";"-1.6538079"
"9";"Patterson, James";"6th target";"NE15 7UB";"54.9815404";"-1.6920202"
"35";"Patterson, James";"8th confession";"NE6 1PL";"54.9755154";"-1.5809154"
