"branch";"branchname";"registered";"fakecode";"fakelat";"fakelong"
"2";"GOSFORTH";"40913.40201388889";"NE3 4XN";"55.0029962";"-1.6345623"
"3";"FENHAM";"40913.40258101852";"NE4 8AH";"54.9718675";"-1.6538079"
"9";"WEST END";"40913.40409722222";"NE5 2SY";"54.9899786";"-1.6833345"
"11";"NEWBIGGIN HALL";"40913.40569444445";"NE5 3EB";"54.9959224";"-1.664498"
"35";"EAST END";"40913.40644675926";"NE5 3EB";"54.9959224";"-1.664498"
"3";"FENHAM";"40913.40708333333";"NE5 2SY";"54.9899786";"-1.6833345"
"5";"KENTON";"40913.40872685185";"NE3 3TB";"55.0091977";"-1.6459574"
"2";"GOSFORTH";"40913.41048611111";"NE3 3TB";"55.0091977";"-1.6459574"
"15";"FAWDON";"40913.41224537037";"NE3 3TB";"55.0091977";"-1.6459574"
"2";"GOSFORTH";"40913.41570601852";NULL;NULL;NULL
"1";"OUTER WEST LIBRARY";"40913.41765046296";"NE5 5QJ";"54.9965379";"-1.6989545"
"5";"KENTON";"40913.41909722222";"NE3 2SL";"55.01723";"-1.6492613"
"36";"CITY";"40913.42024305555";"NE8 3NS";"54.95825";"-1.5897935"
"36";"CITY";"40913.42064814815";"NE66 2AB";"55.4055116";"-1.7142829"
"2";"GOSFORTH";"40913.42327546296";"NE3 2DW";"55.0225464";"-1.6195574"
"2";"GOSFORTH";"40913.42483796296";"NE3 2DW";"55.0225464";"-1.6195574"
"3";"FENHAM";"40913.42655092593";"NE4 8AH";"54.9718675";"-1.6538079"
"9";"WEST END";"40913.42793981481";"NE4 8AH";"54.9718675";"-1.6538079"
"36";"CITY";"40913.43481481481";NULL;NULL;NULL
"35";"EAST END";"40913.44195601852";NULL;NULL;NULL
"3";"FENHAM";"40913.44396990741";"NE5 2SY";"54.9899786";"-1.6833345"
"36";"CITY";"40913.44402777778";"NE15 6NF";"54.974351";"-1.6753841"
"36";"CITY";"40913.44715277778";"NE3 3TB";"55.0091977";"-1.6459574"
"36";"CITY";"40913.4528125";"NE1 5PW";"54.9722632";"-1.6157763"
"5";"KENTON";"40913.46143518519";"NE3 3TB";"55.0091977";"-1.6459574"
"35";"EAST END";"40913.4615625";"NE6 2LD";"54.9747647";"-1.5693971"
"1";"OUTER WEST LIBRARY";"40913.48045138889";"NE5 1TU";"55.0008475";"-1.7148744"
"36";"CITY";"40913.4865162037";NULL;NULL;NULL
"36";"CITY";"40913.48704861111";"NE10 9EF";"54.9469907";"-1.5684346"
"36";"CITY";"40913.48980324074";"NE10 9EF";"54.9469907";"-1.5684346"
"36";"CITY";"40913.49481481482";"NE9 5UN";"54.9421911";"-1.5926667"
"36";"CITY";"40913.50329861111";NULL;NULL;NULL
"36";"CITY";"40913.51337962963";"NE2 4AB";"54.9839327";"-1.620875"
"36";"CITY";"40913.5197337963";"NE1 5PW";"54.9722632";"-1.6157763"
"2";"GOSFORTH";"40913.53599537037";"NE3 2SL";"55.01723";"-1.6492613"
"36";"CITY";"40913.54548611111";"NE5 2SY";"54.9899786";"-1.6833345"
"2";"GOSFORTH";"40913.55642361111";"NE3 4XN";"55.0029962";"-1.6345623"
"36";"CITY";"40913.57762731481";"NE20 9RA";"55.0435056";"-1.7516105"
"36";"CITY";"40913.58055555556";"SR7 9QA";"54.819";"-1.3887892"
"36";"CITY";"40913.58319444444";"NE25 0QA";"55.0726947";"-1.5194912"
"36";"CITY";"40913.58820601852";"NE1 6PY";"54.9742805";"-1.5994268"
