"fakecode";"fakelat";"fakelong"
"AL10 9NG";"51.761670411984916";"-0.24025842696629196"
"AL2 3RR";"51.718645522388";"-0.3599253731343285"
"AL4 9SN";"51.77080412371148";"-0.3020137457044677"
"AL4 9SN";"51.77080412371148";"-0.3020137457044677"
"AL5 2EF";"51.81121074380149";"-0.3595867768595038"
"AL5 3HQ";"51.827705882352966";"-0.37817647058823534"
"AL5 3HQ";"51.827705882352966";"-0.37817647058823534"
"AL5 3HQ";"51.827705882352966";"-0.37817647058823534"
"AL5 3HQ";"51.827705882352966";"-0.37817647058823534"
"AL5 5QH";"51.82048611111098";"-0.3398611111111112"
"AL6 0ER";"51.832875000000016";"-0.18172727272727296"
"AL6 9NH";"51.833213636363595";"-0.21744090909090924"
"AL7 1GE";"51.80780769230777";"-0.18796153846153843"
"AL7 4LX";"51.78790869565232";"-0.19039999999999993"
"AL8 6RJ";"51.79956444444445";"-0.21086666666666667"
"AL8 7SD";"51.81005188679236";"-0.20981132075471723"
"AL8 7SD";"51.81005188679236";"-0.20981132075471723"
"B1  1HL";"52.47647058823523";"-1.9032016806722687"
"B1  2NN";"52.48030172413795";"-1.9111896551724135"
"B1  2NN";"52.48030172413795";"-1.9111896551724135"
"B1  2NN";"52.48030172413795";"-1.9111896551724135"
"B1  2NN";"52.48030172413795";"-1.9111896551724135"
"B1  2NN";"52.48030172413795";"-1.9111896551724135"
"B1  2NN";"52.48030172413795";"-1.9111896551724135"
"B1  2NN";"52.48030172413795";"-1.9111896551724135"
"B1  2NN";"52.48030172413795";"-1.9111896551724135"
"B1  3JR";"52.48385057471262";"-1.9099080459770112"
"B1  3JR";"52.48385057471262";"-1.9099080459770112"
"B1  3JR";"52.48385057471262";"-1.9099080459770112"
"B1  3JR";"52.48385057471262";"-1.9099080459770112"
"B13 0HN";"52.42752444444451";"-1.871955555555555"
"B14 7DG";"52.43369277108435";"-1.8933012048192759"
"B17 0BQ";"52.45402020202027";"-1.9549696969696972"
"B17 9EA";"52.461865979381535";"-1.9572628865979385"
"B3  2QB";"52.480808510638326";"-1.8985531914893636"
"B3  2QB";"52.480808510638326";"-1.8985531914893636"
"B3  2QB";"52.480808510638326";"-1.8985531914893636"
"B3  2QB";"52.480808510638326";"-1.8985531914893636"
"B3  2QB";"52.480808510638326";"-1.8985531914893636"
"B3  2QB";"52.480808510638326";"-1.8985531914893636"
"B3  2QB";"52.480808510638326";"-1.8985531914893636"
"B24 0JH";"52.525962085308116";"-1.8133507109004736"
"B28 0NS";"52.421556390977514";"-1.8462518796992484"
"B29 7LU";"52.442284023668655";"-1.9205621301775146"
"B29 7LU";"52.442284023668655";"-1.9205621301775146"
"B3  1DX";"52.484718749999985";"-1.9048020833333328"
"B3  1DX";"52.484718749999985";"-1.9048020833333328"
"B3  3AL";"52.48130909090908";"-1.9023272727272733"
"B3  3AL";"52.48130909090908";"-1.9023272727272733"
"B3  3AL";"52.48130909090908";"-1.9023272727272733"
"B3  3AL";"52.48130909090908";"-1.9023272727272733"
"B3  3AL";"52.48130909090908";"-1.9023272727272733"
"B3  3AL";"52.48130909090908";"-1.9023272727272733"
"B3  3AL";"52.48130909090908";"-1.9023272727272733"
"B30 1NA";"52.423217194570164";"-1.9411357466063344"
"B30 1NA";"52.423217194570164";"-1.9411357466063344"
"B30 2PR";"52.428727678571455";"-1.9201919642857141"
"B31 2LL";"52.41256048387093";"-1.9670282258064535"
"B31 3HP";"52.40262222222221";"-1.9581511111111118"
"B31 3HP";"52.40262222222221";"-1.9581511111111118"
"B32 2BJ";"52.45794392523357";"-1.980331775700936"
"B4  6AT";"52.484203883495155";"-1.8959029126213591"
"B4  6AT";"52.484203883495155";"-1.8959029126213591"
"B42 2PR";"52.53731122448973";"-1.9085"
"B45 0EW";"52.40618032786889";"-2.014885245901639"
"B47 6JH";"52.379684782608706";"-1.8808043478260872"
"B62 0HE";"52.435572368421035";"-2.039157894736841"
"B68 0AP";"52.468569060773405";"-2.000408839779005"
"B68 0AP";"52.468569060773405";"-2.000408839779005"
"B68 0AP";"52.468569060773405";"-2.000408839779005"
"B69 2GG";"52.50782876712328";"-2.0335958904109597"
"B7  4JR";"52.48974999999998";"-1.8776"
"B7  4JR";"52.48974999999998";"-1.8776"
"B72 1JS";"52.55210655737701";"-1.8213811475409842"
"B72 1JS";"52.55210655737701";"-1.8213811475409842"
"B73 5SU";"52.54647983870972";"-1.8381975806451618"
"B73 6LH";"52.559197478991564";"-1.847533613445376"
"B74 3LZ";"52.58575384615378";"-1.8813846153846159"
"B74 4LD";"52.59452032520327";"-1.8442845528455294"
"B77 2RA";"52.62237931034495";"-1.6712709359605917"
"B77 4AS";"52.622466666666675";"-1.6495030303030291"
"B78 3HZ";"52.62024358974356";"-1.7159914529914546"
"B78 3HZ";"52.62024358974356";"-1.7159914529914546"
"B78 3HZ";"52.62024358974356";"-1.7159914529914546"
"B78 3HZ";"52.62024358974356";"-1.7159914529914546"
"B78 3HZ";"52.62024358974356";"-1.7159914529914546"
"B79 7EU";"52.63733333333336";"-1.7014950980392156"
"B79 7EU";"52.63733333333336";"-1.7014950980392156"
"B79 8QS";"52.64598571428556";"-1.6980857142857138"
"B80 7BB";"52.27587081339715";"-1.893162679425837"
"B9  4PY";"52.47887407407405";"-1.866896296296297"
"B9  4PY";"52.47887407407405";"-1.866896296296297"
"B9  4PY";"52.47887407407405";"-1.866896296296297"
"B90 1DF";"52.3966348547718";"-1.847427385892118"
"B90 4GT";"52.392493150684935";"-1.80461301369863"
"B91 1RG";"52.41735714285716";"-1.798037815126052"
"B91 2SQ";"52.42281742738589";"-1.7706846473029045"
"B92 7RP";"52.44110362694296";"-1.8033471502590674"
"B93 0EF";"52.377658914728684";"-1.721224806201551"
"B93 9PG";"52.390720238095234";"-1.746541666666667"
"B95 6EZ";"52.2631121495327";"-1.7776355140186924"
"B95 6EZ";"52.2631121495327";"-1.7776355140186924"
"B95 6EZ";"52.2631121495327";"-1.7776355140186924"
"B96 6HJ";"52.2538743961353";"-1.9595169082125596"
"B97 5FD";"52.28752131147545";"-1.9576983606557383"
"B98 0JW";"52.3009360730594";"-1.8954063926940627"
"BA1 0SA";"51.38181666666666";"-2.359244444444447"
"BA1 0SA";"51.38181666666666";"-2.359244444444447"
"BA1 2LP";"51.38725104602498";"-2.366263598326362"
"BA1 2LP";"51.38725104602498";"-2.366263598326362"
"BA1 2LP";"51.38725104602498";"-2.366263598326362"
"BA1 2LP";"51.38725104602498";"-2.366263598326362"
"BA1 2LP";"51.38725104602498";"-2.366263598326362"
"BA1 2LP";"51.38725104602498";"-2.366263598326362"
"BA1 3PA";"51.387416666666695";"-2.3882291666666666"
"BA1 6LY";"51.39615811965799";"-2.3501623931623974"
"BA14 0RJ";"51.30880212014126";"-2.2114734982332176"
"BA14 0RJ";"51.30880212014126";"-2.2114734982332176"
"BA14 0RJ";"51.30880212014126";"-2.2114734982332176"
"BA14 6JB";"51.33175909090905";"-2.1652409090909095"
"BA14 7LA";"51.32570034843197";"-2.193282229965159"
"BA16 0HX";"51.12474632352945";"-2.739408088235295"
"BA16 0HX";"51.12474632352945";"-2.739408088235295"
"BA2 0SJ";"51.33180526315785";"-2.4732894736842095"
"BA2 1EA";"51.377022026431604";"-2.394422907488985"
"BA1 0HJ";"51.37860000000003";"-2.3556243902439014"
"BA2 7UN";"51.33932142857141";"-2.322042857142858"
"BA2 7UN";"51.33932142857141";"-2.322042857142858"
"BA21 4PY";"50.95017910447765";"-2.626706467661692"
"BA21 4PY";"50.95017910447765";"-2.626706467661692"
"BA21 5QD";"50.95483189655184";"-2.6139482758620702"
"BA22 8RQ";"50.977750000000015";"-2.663843333333336"
"BA22 8RQ";"50.977750000000015";"-2.663843333333336"
"BA5 2PJ";"51.210958955223745";"-2.651309701492536"
"BA8 0JW";"50.998656862745136";"-2.4107107843137268"
"BB1 1LB";"53.745824742267956";"-2.46548969072165"
"BB1 9QA";"53.78051832460729";"-2.478125654450263"
"BB1 9QA";"53.78051832460729";"-2.478125654450263"
"BB10 1RT";"53.80452534562217";"-2.235626728110601"
"BB10 1RT";"53.80452534562217";"-2.235626728110601"
"BB11 4LF";"53.784836363636444";"-2.2570545454545456"
"BB12 8SG";"53.8013008849558";"-2.3039557522123904"
"BB18 6JN";"53.915572916666605";"-2.156201388888888"
"BB2 5NX";"53.7286615384615";"-2.5270230769230766"
"BB2 7HE";"53.769023529411776";"-2.5234823529411763"
"BB3 0BA";"53.71082017543857";"-2.479671052631579"
"BB3 1EF";"53.70102272727276";"-2.474204545454547"
"BB3 3ED";"53.698175879396906";"-2.448231155778896"
"BB4 7JZ";"53.69782142857129";"-2.2657366071428564"
"BB4 7JZ";"53.69782142857129";"-2.2657366071428564"
"BB4 8LX";"53.72042962962968";"-2.286870370370369"
"BB4 9LE";"53.7073256880733";"-2.2470137614678904"
"BB5 3BJ";"53.74168544600947";"-2.393455399061032"
"BB5 5WW";"53.77517586206899";"-2.3765034482758605"
"BB5 5WW";"53.77517586206899";"-2.3765034482758605"
"BB7 4LG";"53.914820083681974";"-2.330071129707112"
"BB7 9AJ";"53.83104577464794";"-2.4037992957746477"
"BB7 9AJ";"53.83104577464794";"-2.4037992957746477"
"BB8 9RU";"53.8598351063829";"-2.1739148936170203"
"BB9 0QL";"53.830548387096826";"-2.2086491935483887"
