"5164","0","Avish Khebrehzadeh","2","","","871","0"
"5165","0","Avital Geva","1","","","387","0"
"5166","0","Axel Lieber","7","","","1655","0"
"5167","0","Aydan Murtezaoglu","3","","","917","0"
"5168","0","Bakr Sheikhoon","1","","","196","0"
"5169","0","Baldock, Karen","1","","","190","0"
"5170","0","BalletLORENT","1","","","393","0"
"5171","0","Barbara Hepworth","14","","","1954","0"
"5172","0","Barbara Kruger","24","","","4514","0"
"5173","0","Barbara Rauch","1","","","167","0"
"5174","0","Barbara Steinman","2","http://www.arsbrevis.com/","","354","0"
"5175","0","Barry Hale","1","","","183","0"
"5176","0","Basilius Besler","1","","","164","0"
"5178","0","Baumschlager & Eberle","1","","","137","0"
"34311","0","Richard Estes","2","","","342","50"
"5180","0","Beagles & Ramsey","3","","","727","0"
"5182","0","Beat Streuli","22","http://www.beatstreuli.com/","","4069","0"
"5183","0","Beatriz Milhazes","9","","","1907","0"
"5184","0","Behi Shamiri","1","","","168","0"
"5185","0","Bellemo & Cat","1","","","177","0"
"5186","0","Ben Sadler","3","","","1206","0"
"5187","0","Ben Schonzeit","2","","","575","0"
"5188","0","Ben Van Berkel","1","","","175","0"
"5189","0","Ben Woodeson","3","","","993","0"
"5190","0","Benjamin Nitot","1","","","194","0"
"5191","0","Bernar Venet","4","","","1040","0"
"5192","0","Bernard Frize","8","","","1750","0"
"5193","0","Bernard Georgeson","1","","","152","0"
"5194","0","Bernard Piffaretti","1","","","149","0"
"5195","0","Betsy Damon","1","","","186","0"
"5196","0","Betty Beaumont","1","","","265","0"
"5197","0","Bhupen Khakhar","1","","","127","0"
"5198","0","Bill Breckenridge","1","","","163","0"
"5200","0","Bill Drummond","9","","","2507","0"
"5201","0","Bill Jacklin","2","","","545","0"
"5202","0","Bill Jacobson","2","","","613","0"
"5203","0","Bill Jensen","1","","","166","0"
"5204","0","Bill Viola","35","http://www.billviola.com/","","5371","0"
"5205","0","Billy Name","1","","","175","0"
"5206","0","Bing Thom","1","","","177","0"
"5207","0","Binita Walia","1","","","765","0"
"5208","0","Birgit Jurgenssen","1","","","174","0"
"5209","0","Bjorn Bjarre","1","","","164","0"
"5210","0","Blast Theory","6","","","1568","0"
"5212","0","Bob Levene","1","","","179","0"
"5213","0","Bobby Baker","4","","","756","0"
"5214","0","Borgos Dance`","1","","","213","0"
"5215","0","Boyle Family","4","","","1130","0"
"5216","0","Bozidar Stef Golub","1","","","172","0"
"5217","0","Brad Killam","1","","","191","0"
"5218","0","Brad Thomas","1","","","164","0"
"5219","0","Bram van Velde","1","","","149","0"
"5221","0","Brian Alfred","2","","","576","0"
"5222","0","Brian Catling","7","","","1211","0"
"5223","0","Bridget Jones","2","","","366","0"
"5224","0","Bridget Riley","32","","","4526","0"
"5225","0","Bridget Smith","2","","","475","0"
"5226","0","Brigitte Jurack","2","","","541","0"
"5227","0","Bronius Grazys","1","","","118","0"
"5229","0","Bruce McLean","14","","","1828","0"
"5230","0","Bruce Nauman","40","","","5024","0"
"5231","0","Bruno Gironcoli","2","","","557","0"
"5232","0","Bryan Kneale","2","","","525","0"
"5233","0","Buschow Henley","1","","","175","0"
"5234","0","Byoungsoo Cho","1","","","212","0"
"5235","0","Cady Noland","3","","","931","0"
"5237","0","Cai Guo-Qiang","8","","","1217","0"
"5238","0","Cai Yuan","2","","","506","0"
"5240","0","Camilla Low","3","","","861","0"
"5241","0","Candice Breitz","36","","","11031","0"
"5242","0","Candida Hofer","10","","","1498","0"
"5243","0","Carey Young","20","http://www.careyyoung.com/","","3896","0"
"5244","0","Carina Heden","3","","","920","0"
"5245","0","Carl Andre","11","","","1161","0"
"5246","0","Carl Michael von Hausswolff","5","","","1615","0"
"5247","0","Carl Plansky","1","","","158","0"
"5248","0","Carla Klein","2","","","775","0"
"5249","0","Carl-Henning Pedersen","5","","","1317","0"
"5250","0","Carlo Maria Mariani","1","","","168","0"
"5251","0","Carlo Mollino","2","","","534","0"
"5252","0","Carlos Estevez","0","","","343","0"
"5253","0","Carlos Garaicoa","5","","","1163","0"
"5254","0","Carlyle Reedy","1","","","124","0"
"5255","0","Caro Niederer","4","","","651","0"
"5256","0","Carol Bove","8","","","1470","0"
"5257","0","Carol Swan","1","","","175","0"
"5258","0","Carole Benzaken","2","","","593","0"
"5259","0","Caroline Berkenbosch","5","","","1387","0"
"5260","0","Carsten Holler","49","","","11117","0"
"5261","0","Carter Hodgkin","1","","","168","0"
"5262","0","Cat Chow","1","","","136","0"
"5263","0","Catherine Bertola","31","","","5824","0"
"5264","0","Catherine Jiggens","2","","","1224","0"
"5265","0","Catherine Sullivan","7","","","1220","0"
"5266","0","Catherine Yass","11","","","1349","0"
"5267","0","Cathy Wilkes","8","","","1758","0"
"5268","0","Ceal Floyer","18","","","2648","0"
"5269","0","Cecilia Edefalk","3","","","845","0"
"5270","0","Cecilia Parsberg","2","","","751","0"
"5271","0","Cecily Brown","6","","","1113","0"
"5272","0","Cedric Price","2","","","952","0"
"5273","0","Celia Paul","4","","","1053","0"
"5274","0","Cerith Wyn Evans","25","","","3048","0"
"5275","0","Cesar Pelli","1","","","122","0"
"5276","0","Cesare Pietroiusti","5","","","1163","0"
"5277","0","Chad McCail","136","","","11604","0"
"5279","0","Chan Ky-Yut","2","","","927","0"
"5280","0","Charles Atlas","2","","","832","0"
"5281","0","Charles 'Cako' Boussion","1","","","131","0"
"5282","0","Charles Hadcock","3","","","687","0"
"5283","0","Charles Ray","8","","","1141","0"
"5284","0","Charlotte Aberg","3","","","973","0"
"5285","0","Charlotte Gyllenhammar","5","","","862","0"
"5286","0","Charlotte Hodes","1","","","130","0"
"5287","0","Charlotte Moorman","2","","","530","0"
"5288","0","Charlotte Posenenske","2","","","241","0"
"5289","0","Chatchai Puipia","2","","","574","0"
"5290","0","Chen Yanyin","1","","","134","0"
"5291","0","Chen Yifei","2","","","463","0"
"5292","0","Chen Zhen","5","","","937","0"
"5293","0","Cheryl Goldsleger","1","","","197","0"
"5294","0","Chiel Meijering","2","","","721","0"
"34310","0","Jean Bazaine","1","","","141","50"
"5296","0","China Adams","1","","","189","0"
"5297","0","Chloe Piene","7","","","1584","0"
"5298","0","Chris Burden","92","","","10547","0"
"5300","0","Chris Jennings","1","","","157","0"
"5301","0","Chris Kasper","1","","","138","0"
"5302","0","Chris Ofili","25","","","3858","0"
"5303","0","Chris Rollen","2","","","930","0"
"5304","0","Chriss Meigh-Andrews","1","","","123","0"
"5305","0","Christer Stromholm","1","","","163","0"
"5306","0","Christian Dotremont","2","","","502","0"
"5307","0","Christian Drevet","1","","","124","0"
"5308","0","Christian Hutzinger","1","","","123","0"
"5309","0","Christian Jankowski","7","","","1737","0"
"5310","0","Christian Marclay","40","","","3715","0"
"5311","0","Christian Philipp Muller","2","","","667","0"
"5312","0","Christian Schad","1","","","194","0"
"5313","0","Christian Spruell","1","","","174","0"
"5314","0","Christiana Megalemou","1","","","179","0"
"5315","0","Christiane Lohr","2","","","598","0"
"5316","0","Christina Dimitriadis","1","","","155","0"
"5318","0","Christine Borland","20","","","2495","0"
"5319","0","Christine Burn","1","","","130","0"
"5320","0","Christine Constant","4","","","1318","0"
"5321","0","Christine Darling","1","","","112","0"
"5322","0","Christo and Jeanne-Claude","6","www.christojeanneclaude.net","","1455","0"
